row_id,product_name,supplier_sku,barcode,supplier_notes,unit_price
1,SALTY CREW SURFACE HOOD SUNSHIRT CHARCOAL S,SC-20135643-CH-S,,,74.95
2,SALTY CREW TAILED TANK BLACK S,SC-20635013-BK-S,0804046051343,,39.95
3,BNR TACKLE SOFT BEAD 10MM,BNR-SBPC10,0816324009595,PINK CADDY,9.99
4,SALTY CREW ARCHWAY CLASSIC TEE BLACK L,SC-25035076-BK-L,,,39.95
5,Gamakatsu 225911-25 Big River Bait,GAM-225911-25,0089726104957,"Hook, Size 1/0, Barbed, Needle",19.99
6,High Vis Digital Scale 20lb,RAP-RHVDS,0022677360638,,229.99
7,"CURT 1900# WINCH 8"" HANDLE",CURT-29428,,,144.99
8,FARIA MERC EURO OIL PRESSURE GAUGE,FAR-12803,0759266128033,,59.99
9,"HANAK ALLROUND 25PK""",HAN-HH500BL-12,0910000087416,SIZE 12,9.95
10,MAXIMA BIG GAME MONO 100LBS X 55YDS,MAX-BG55M-100-UG,0062242049032,ULTRA GREEN,26.99
11,Maxima BGG-50 Big Game Leader Dispenser 50lb 55yd Ultra Green,MAX-BGG-50,0607272010289,,14.99
12,SALTY CREW TRUCK STOP CLASSIC TEE SLATE XL,SC-25035077-SL-XL,,,42.95
13,AVET MXL 5.8 G2 GOLD,AVET-MXL5.8G2-GD-W/O,0815890029150,RIGHTHAND W/O GLIDE PLATE,399.99
14,SALTY CREW SEALINE RETRO TRUCKER CAMO/BLACK,SC-35035228-CMB,,,44.95
15,SALTY CREW SURFACE HOOD SUNSHIRT CHARCOAL 2XL,SC-20135643-CH-2XL,,,74.95
16,MARUTO 8845 SSC+CP HOOK 3/0,MARU-8845-3/0,4548998039511,3/0 OPEN EYE,7.99
17,SALTY CREW TRUCK STOP CLASSIC TEE SLATE L,SC-25035077-SL-L,,,42.95
18,BNR TACKLE SOFT BEAD 12MM,BNR-SBPC12,0816324009632,PINK CADDY,9.99
19,TUF-LINE BULK INDICATOR 200LBS,TFL-200LBX3600FT,0087852009863,DOWNRIGGER BRAID,599.99
20,"HANAK ""DRY UP TURNED 25PK""",HAN-HH130BLR-12,0910000087263,SIZE 12,9.95
21,SALTY CREW SURFACE HOOD SUNSHIRT CHARCOAL M,SC-20135643-CH-M,,,74.95
22,ORVIS WIDE MOUTH HAND NET,ORV-29FG31,,STEEL CAMO,259.99
23,MAXIMA BIG GAME MONO 80LBS X 55YDS,MAX-BG55M-80-UG,0062242049025,,24.99
24,"BnR Tackle BB3.5 Holey Worm, 3.5""",BNR-BB3.5-SPC,0816324000349,SWEET PINK CHERRY,9.99
25,GIBBS MAC FISH 70G,GIB-00315,"0066243779073
0771613003152",CHROME,8.99
26,SALTY CREW SURFACE HOOD SUNSHIRT CHARCOAL L,SC-20135643-CH-L,,,74.95
27,MUSTAD TREBLE 3X 8/0 HOOK,MUD-3551-BR-8/0,,25 PK BRONZE,44.99
28,SUN BUM MINERAL FACE TINT 30 SPF,SB-25-62330,0871760007895,1.7OZ,20.49
29,DOCK EDGE FENDER COVER 8.5X27 BLK/NVY,DOC-96-5869-F,0776113115787,MEDIUM,49.99
